Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GPT,GPT Group FP Ordinary/Units Stapled Securities,Real Estate,"10,468,400,000",0.59,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"972,102,000",0.06,,,
GWA,GWA Group Limited,Industrials,"739,053,000",0.04,,,
GXL,Greencross Limited,Consumer Discretionary,"662,549,000",0.04,,,
GXY,Galaxy Resources,Materials,"815,048,000",0.05,,,
HLS,Healius,Health Care,"1,810,960,000",0.1,,,
HPI,Hotel Property FP Ordinary/Units Stapled Securities,Real Estate,"451,466,000",0.03,,,
HSN,Hansen Technologies,Information Technology,"675,893,000",0.04,,,
HSO,Healthscope Limited,Health Care,"4,109,140,000",0.23,,,
HT1,HT&E Limited,Consumer Discretionary,"468,381,000",0.03,,,
HUB,HUB24 Limited,Financials,"804,968,000",0.05,,,
HVN,Harvey Norman,Consumer Discretionary,"3,975,710,000",0.23,,,
IAG,Insurance Australia,Financials,"16,385,300,000",0.93,,,
IDR,Industria REIT FP Ordinary/Units Stapled Securities,Real Estate,"447,809,000",0.03,,,
IEL,Idp Education Limited,Consumer Discretionary,"2,887,950,000",0.16,,,
IFL,IOOF Holdings Limited,Financials,"1,765,910,000",0.1,,,
IFM,Infomedia Limited,Information Technology,"390,533,000",0.02,,,
IFN,Infigen Energy FP Ordinary/Units Stapled Securities,Utilities,"430,453,000",0.02,,,
IGL,Ivegroup,Consumer Discretionary,"325,994,000",0.02,,,
IGO,Independence Group,Materials,"2,586,290,000",0.15,,,
ILU,Iluka Resources,Materials,"3,674,840,000",0.21,,,
IMD,IMDEX Limited,Materials,"447,772,000",0.03,,,
IMF,IMF Bentham Limited,Financials,"624,057,000",0.04,,,
INA,Ingenia Group FP Ordinary/Units Stapled Securities,Real Estate,"712,778,000",0.04,,,
ING,Inghams Group,Consumer Staples,"1,749,120,000",0.1,,,
INR,Ioneer Limited,Materials,"221,248,000",0.01,,,
IPH,IPH Limited,Industrials,"1,079,460,000",0.06,,,
IPL,Incitec Pivot,Materials,"5,315,140,000",0.3,,,
IRE,Iress Limited,Information Technology,"2,035,690,000",0.12,,,
IRI,Integrated Research,Information Technology,"419,243,000",0.02,,,
IVC,Invocare Limited,Consumer Discretionary,"1,345,130,000",0.08,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,569,940,000",0.15,,,
JHC,Japara Healthcare LT,Health Care,"329,912,000",0.02,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"1,866,840,000",0.11,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"6,779,910,000",0.38,,,
JMS,Jupiter Mines,Materials,"479,953,000",0.03,,,
KAR,Karoon Energy Limited,Energy,"207,634,000",0.01,,,
KDR,Kidman Resources Limited,Materials,"455,397,000",0.03,,,
KGN,Kogan.com Limited,Consumer Discretionary,"402,945,000",0.02,,,
LLC,Lendlease Group FP Ordinary/Units Stapled Securities,Real Estate,"6,895,910,000",0.39,,,
LNG,Liquefied Natural,Energy,"291,594,000",0.02,,,
LNK,Link Admin HLDG,Information Technology,"3,799,780,000",0.22,,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"760,075,000",0.04,,,
LYC,Lynas Corporation,Materials,"1,115,020,000",0.06,,,
MFG,Magellan Fin Group Limited,Financials,"5,054,080,000",0.29,,,
MGR,Mirvac Group FP Ordinary/Units Stapled Securities,Real Estate,"8,779,660,000",0.5,,,
MIN,Mineral Resources,Materials,"2,973,660,000",0.17,,,
MLD,Maca Limited,Materials,"262,648,000",0.01,,,
MLX,Metals X Limited,Materials,"244,616,000",0.01,,,
MMS,Mcmillan Shakespeare,Industrials,"1,277,190,000",0.07,,,
MND,Monadelphous Group,Industrials,"1,391,960,000",0.08,,,
MNY,MONEY3 Corporation,Financials,"319,939,000",0.02,,,
MP1,Megaport Limited,Information Technology,"454,471,000",0.03,,,
